FL-experiment | INFO flwr 2024-04-29 17:22:44,960 | main.py:43 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=10,
FL-experiment | INFO flwr 2024-04-29 17:22:44,961 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-29 17:22:44,961 | main.py:54 | Start opening channels
FL-experiment | INFO flwr 2024-04-29 17:23:10,439 | main.py:56 | Done opening channels
FL-experiment | DEBUG flwr 2024-04-29 17:23:13,292 | server.py:147 | File: storage/init_model_adb9e370-cb77-43bf-9fb8-4ab3fd643610.pkl IPFS file hash: QmNSRj9S9jFAHnZSxPZQhnrx52CQZmcVCQ1k8Gzt751q7j
FL-experiment | INFO flwr 2024-04-29 17:23:13,292 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-29 17:23:13,292 | server.py:49 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-04-29 17:23:13,292 | server.py:52 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,QmNSRj9S9jFAHnZSxPZQhnrx52CQZmcVCQ1k8Gzt751q7j,10,0,0,0
FL-experiment | INFO flwr 2024-04-29 17:23:13,518 | server.py:52 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,QmNSRj9S9jFAHnZSxPZQhnrx52CQZmcVCQ1k8Gzt751q7j,10,0,0,0
FL-experiment | INFO flwr 2024-04-29 17:23:13,739 | server.py:54 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-04-29 17:23:13,739 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FL-experiment | INFO flwr 2024-04-29 17:23:13,763 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-29 17:23:13,763 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-29 17:23:13,763 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-29 17:23:19,853 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 17:23:19,855 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 17:23:19,857 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 17:23:19,857 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 17:23:19,868 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-29 17:23:19,869 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-29 17:23:19,869 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-29 17:23:19,893 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 17:23:19,894 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 17:23:19,894 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 17:23:19,895 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-29 17:23:19,895 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 17:23:19,898 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-29 17:23:19,903 | client.py:128 | Start Training client=0
FL-experiment | DEBUG flwr 2024-04-29 17:23:39,774 | client.py:139 | File: storage/updated_weights_0_d83329ab-bcf9-49e9-8f48-ef9b2fb5d37a.pkl IPFS file hash: Qme74QCAFHaXqWFJTRe3LY122HBvyhY6ZbpJGEMfPBH5wA
FL-experiment | INFO flwr 2024-04-29 17:23:39,775 | client.py:141 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-04-29 17:23:39,775 | client.py:144 | PERUN REQUEST: Setting weight client=0, REQ=set,peer_2,1,10,Qme74QCAFHaXqWFJTRe3LY122HBvyhY6ZbpJGEMfPBH5wA,0,0
FL-experiment | DEBUG flwr 2024-04-29 17:23:39,870 | client.py:139 | File: storage/updated_weights_1_d96c8a69-6a93-41e0-b149-7cf00ade9982.pkl IPFS file hash: QmRj1H824K6Xu9KHK3XQsnvGQ6aLmLyaL7TDDYw9Ld4Qde
FL-experiment | INFO flwr 2024-04-29 17:23:39,870 | client.py:141 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-04-29 17:23:39,871 | client.py:144 | PERUN REQUEST: Setting weight client=1, REQ=set,peer_2,1,10,QmRj1H824K6Xu9KHK3XQsnvGQ6aLmLyaL7TDDYw9Ld4Qde,0,0
FL-experiment | INFO flwr 2024-04-29 17:23:39,908 | client.py:146 | Done sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-04-29 17:23:39,908 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-29 17:23:40,000 | client.py:146 | Done sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-04-29 17:23:40,000 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-29 17:23:40,003 | server.py:236 | fit_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-29 17:23:40,004 | server.py:65 | Start Aggregating round=1
FL-experiment | WARNING flwr 2024-04-29 17:23:40,009 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL-experiment | INFO flwr 2024-04-29 17:23:40,009 | server.py:86 | Start saving aggregated model to storage (round=1)
FL-experiment | DEBUG flwr 2024-04-29 17:23:40,242 | server.py:95 | File: storage/aggregated_model_e8ffd648-2e79-4f92-bf60-70fda51ec862.pkl IPFS file hash: QmaEZvdH1HvKAhdYLNCtND22SnaqWx7wWYqf1oP6gv4hUa
FL-experiment | INFO flwr 2024-04-29 17:23:40,245 | server.py:98 | Done saving aggregated model to storage (round=1)
FL-experiment | DEBUG flwr 2024-04-29 17:23:40,246 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-29 17:23:42,325 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-29 17:23:42,325 | server.py:105 | Start evaluating fit round=1
FL-experiment | INFO flwr 2024-04-29 17:23:42,325 | server.py:107 | Done Evaluating fit round=1
FL-experiment | DEBUG flwr 2024-04-29 17:23:42,325 | server.py:108 | Round: 1, Aggregated accuracy: {'accuracy': 0.2185}, Aggregated loss: 680.8458557128906, IPFS hash: QmaEZvdH1HvKAhdYLNCtND22SnaqWx7wWYqf1oP6gv4hUa
FL-experiment | INFO flwr 2024-04-29 17:23:42,325 | server.py:111 | Start sending aggregated model to perun nodes round=1
FL-experiment | INFO flwr 2024-04-29 17:23:42,325 | server.py:114 | PERUN REQUEST: Setting model with peer_0, REQ=set,peer_0,QmaEZvdH1HvKAhdYLNCtND22SnaqWx7wWYqf1oP6gv4hUa,10,0,0,99
FL-experiment | INFO flwr 2024-04-29 17:23:42,545 | server.py:114 | PERUN REQUEST: Setting model with peer_1, REQ=set,peer_1,QmaEZvdH1HvKAhdYLNCtND22SnaqWx7wWYqf1oP6gv4hUa,10,0,0,99
FL-experiment | INFO flwr 2024-04-29 17:23:42,770 | server.py:123 | Done sending aggregated model to perun nodes round=1
FL-experiment | INFO flwr 2024-04-29 17:23:42,771 | server.py:131 | Done Aggregating round=1
FL-experiment | INFO flwr 2024-04-29 17:23:42,771 | server.py:132 | Done Round=1
FL-experiment | INFO flwr 2024-04-29 17:23:42,771 | server.py:134 | Start Round=2
FL-experiment | DEBUG flwr 2024-04-29 17:23:42,771 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-29 17:23:42,780 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-29 17:23:42,784 | client.py:128 | Start Training client=0
FL-experiment | DEBUG flwr 2024-04-29 17:24:01,922 | client.py:139 | File: storage/updated_weights_0_6d804478-a10d-44c2-b198-fc298495d2a9.pkl IPFS file hash: QmcPsj6QvKJVBcK4VYaQy1TavVu2tZrDp1QiUfTJ7sysSH
FL-experiment | INFO flwr 2024-04-29 17:24:01,922 | client.py:141 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-04-29 17:24:01,922 | client.py:144 | PERUN REQUEST: Setting weight client=0, REQ=set,peer_2,1,10,QmcPsj6QvKJVBcK4VYaQy1TavVu2tZrDp1QiUfTJ7sysSH,0,0
FL-experiment | INFO flwr 2024-04-29 17:24:02,149 | client.py:146 | Done sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-04-29 17:24:02,150 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-29 17:24:02,183 | client.py:139 | File: storage/updated_weights_1_3d90809e-1135-4446-bf63-25f62d56b214.pkl IPFS file hash: QmTZuaBznPkWErp3QTxeqyexKEVCsht46VeAzaTiW8BVpQ
FL-experiment | INFO flwr 2024-04-29 17:24:02,183 | client.py:141 | Start sending updated weights to the perun node (client=1)
