FL-experiment | INFO flwr 2024-04-29 18:27:07,378 | main.py:43 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=5, NUM_ROUNDS=1,
FL-experiment | INFO flwr 2024-04-29 18:27:07,378 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-29 18:27:07,379 | main.py:54 | Start opening channels
FL-experiment | INFO flwr 2024-04-29 18:28:20,844 | main.py:56 | Done opening channels
FL-experiment | DEBUG flwr 2024-04-29 18:28:22,912 | server.py:147 | File: storage/init_model_9d0f071e-edb5-4ccd-abc0-7a66fe69a8a2.pkl IPFS file hash: QmZKaB72LUvRuxNHF3Xpuzxu2U48vsL85DLqPaGhc2DqaE
FL-experiment | INFO flwr 2024-04-29 18:28:22,913 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-29 18:28:22,913 | server.py:49 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-04-29 18:28:22,913 | server.py:52 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,QmZKaB72LUvRuxNHF3Xpuzxu2U48vsL85DLqPaGhc2DqaE,1,0,0,0
FL-experiment | INFO flwr 2024-04-29 18:28:23,101 | server.py:52 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,QmZKaB72LUvRuxNHF3Xpuzxu2U48vsL85DLqPaGhc2DqaE,1,0,0,0
FL-experiment | INFO flwr 2024-04-29 18:28:23,284 | server.py:52 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,QmZKaB72LUvRuxNHF3Xpuzxu2U48vsL85DLqPaGhc2DqaE,1,0,0,0
FL-experiment | INFO flwr 2024-04-29 18:28:23,472 | server.py:52 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,QmZKaB72LUvRuxNHF3Xpuzxu2U48vsL85DLqPaGhc2DqaE,1,0,0,0
FL-experiment | INFO flwr 2024-04-29 18:28:23,656 | server.py:52 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,QmZKaB72LUvRuxNHF3Xpuzxu2U48vsL85DLqPaGhc2DqaE,1,0,0,0
FL-experiment | INFO flwr 2024-04-29 18:28:23,836 | server.py:54 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-04-29 18:28:23,841 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=1, round_timeout=None)
FL-experiment | INFO flwr 2024-04-29 18:28:23,889 | app.py:176 | Flower ECE: gRPC server running (1 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-29 18:28:23,890 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-29 18:28:23,890 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-29 18:28:30,501 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 18:28:30,502 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 18:28:30,504 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 18:28:30,517 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-29 18:28:30,517 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-29 18:28:30,517 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-29 18:28:30,552 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 18:28:30,553 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 18:28:30,554 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 18:28:30,554 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 18:28:30,829 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 18:28:30,830 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 18:28:30,831 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 18:28:30,832 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 18:28:30,854 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 18:28:30,854 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 18:28:30,855 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 18:28:30,856 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 18:28:31,417 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 18:28:31,417 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 18:28:31,418 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 18:28:31,418 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-29 18:28:31,418 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
FL-experiment | INFO flwr 2024-04-29 18:28:31,421 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-29 18:28:31,421 | client.py:128 | Start Training client=3
FL-experiment | INFO flwr 2024-04-29 18:28:31,422 | client.py:128 | Start Training client=2
FL-experiment | INFO flwr 2024-04-29 18:28:31,422 | client.py:128 | Start Training client=4
FL-experiment | INFO flwr 2024-04-29 18:28:31,427 | client.py:128 | Start Training client=1
FL-experiment | DEBUG flwr 2024-04-29 18:28:59,038 | client.py:139 | File: storage/updated_weights_1_f65d391a-507c-48c7-a8b3-08a4586b7369.pkl IPFS file hash: QmW9z3HQoxevjMx15cY7VUfwMuhDLPfPHYszbrgTUSmNfZ
FL-experiment | INFO flwr 2024-04-29 18:28:59,038 | client.py:141 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-04-29 18:28:59,038 | client.py:144 | PERUN REQUEST: Setting weight client=1, REQ=set,peer_5,1,1,QmW9z3HQoxevjMx15cY7VUfwMuhDLPfPHYszbrgTUSmNfZ,0,0
FL-experiment | INFO flwr 2024-04-29 18:28:59,071 | client.py:146 | Done sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-04-29 18:28:59,071 | client.py:149 | Done Training client=1
FL-experiment | DEBUG flwr 2024-04-29 18:28:59,112 | client.py:139 | File: storage/updated_weights_4_edfc14e3-5801-498d-8a92-b0c85e3163de.pkl IPFS file hash: QmYkzZzWEkm4BYrTBxTi7iKndFsjwggr2Wv1wyjKkDMS4u
FL-experiment | INFO flwr 2024-04-29 18:28:59,112 | client.py:141 | Start sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-04-29 18:28:59,112 | client.py:144 | PERUN REQUEST: Setting weight client=4, REQ=set,peer_5,1,1,QmYkzZzWEkm4BYrTBxTi7iKndFsjwggr2Wv1wyjKkDMS4u,0,0
FL-experiment | DEBUG flwr 2024-04-29 18:28:59,295 | client.py:139 | File: storage/updated_weights_3_b5eddf07-b457-4699-8bad-33a9ca44667f.pkl IPFS file hash: QmVaXkn7vit2cTb13iwFukac9BFiXB1MUN6b75Rz9cQFUP
FL-experiment | INFO flwr 2024-04-29 18:28:59,295 | client.py:141 | Start sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-04-29 18:28:59,295 | client.py:144 | PERUN REQUEST: Setting weight client=3, REQ=set,peer_5,1,1,QmVaXkn7vit2cTb13iwFukac9BFiXB1MUN6b75Rz9cQFUP,0,0
FL-experiment | INFO flwr 2024-04-29 18:28:59,322 | client.py:146 | Done sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-04-29 18:28:59,322 | client.py:149 | Done Training client=4
FL-experiment | DEBUG flwr 2024-04-29 18:28:59,341 | client.py:139 | File: storage/updated_weights_0_f3bdcab9-7102-48d0-b78c-9e958829d344.pkl IPFS file hash: QmVUX4P24ZQ53bk5PmQAwSiKWEzPcUwrPM9L7e22k35CLC
FL-experiment | INFO flwr 2024-04-29 18:28:59,341 | client.py:141 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-04-29 18:28:59,341 | client.py:144 | PERUN REQUEST: Setting weight client=0, REQ=set,peer_5,1,1,QmVUX4P24ZQ53bk5PmQAwSiKWEzPcUwrPM9L7e22k35CLC,0,0
FL-experiment | INFO flwr 2024-04-29 18:28:59,465 | client.py:146 | Done sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-04-29 18:28:59,465 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-29 18:28:59,493 | client.py:139 | File: storage/updated_weights_2_b0bf6342-05cc-4ac5-aca0-13e9c97254b2.pkl IPFS file hash: QmVYvMWHhanJisRgJg4UnAt5vpZv2qEKM9gLqZTf4K11fK
FL-experiment | INFO flwr 2024-04-29 18:28:59,494 | client.py:141 | Start sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-04-29 18:28:59,494 | client.py:144 | PERUN REQUEST: Setting weight client=2, REQ=set,peer_5,1,1,QmVYvMWHhanJisRgJg4UnAt5vpZv2qEKM9gLqZTf4K11fK,0,0
FL-experiment | INFO flwr 2024-04-29 18:28:59,613 | client.py:146 | Done sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-04-29 18:28:59,613 | client.py:149 | Done Training client=3
FL-experiment | INFO flwr 2024-04-29 18:28:59,806 | client.py:146 | Done sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-04-29 18:28:59,807 | client.py:149 | Done Training client=2
FL-experiment | DEBUG flwr 2024-04-29 18:28:59,826 | server.py:236 | fit_round 1 received 5 results and 0 failures
FL-experiment | INFO flwr 2024-04-29 18:28:59,826 | server.py:65 | Start Aggregating round=1
FL-experiment | WARNING flwr 2024-04-29 18:28:59,844 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
