FL-experiment | INFO flwr 2024-04-29 00:13:13,688 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=10, NUM_ROUNDS=10,
FL-experiment | INFO flwr 2024-04-29 00:13:13,688 | main.py:44 | Start Experiment
FL-experiment | DEBUG flwr 2024-04-29 00:13:15,552 | server.py:147 | File: storage/init_model_bc6d387b-28e9-4752-8aa0-44d34ed80b1e.pkl IPFS file hash: QmUFQeVwTHSmt4jLQpxBgKdZxWkAQHXEZvYd8ZMvfcBEMx
FL-experiment | INFO flwr 2024-04-29 00:13:15,568 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-29 00:13:15,568 | server.py:57 | Start deploying contract
FL-experiment | INFO flwr 2024-04-29 00:14:04,082 | server.py:61 | Done deploying contract
FL-experiment | INFO flwr 2024-04-29 00:14:04,088 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FL-experiment | INFO flwr 2024-04-29 00:14:04,109 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-29 00:14:04,110 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-29 00:14:04,111 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-29 00:14:11,344 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 00:14:11,345 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 00:14:11,345 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 00:14:11,345 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 00:14:11,440 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-29 00:14:11,440 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-29 00:14:11,440 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-29 00:14:11,447 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 00:14:11,469 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 00:14:11,513 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 00:14:11,514 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 00:14:11,672 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 00:14:11,675 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 00:14:11,676 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 00:14:11,677 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 00:14:11,679 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 00:14:11,684 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 00:14:11,685 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 00:14:11,686 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 00:14:11,782 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
