FL-experiment | INFO flwr 2024-03-11 21:40:13,383 | main.py:40 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=3,
FL-experiment | INFO flwr 2024-03-11 21:40:13,383 | main.py:41 | Start Experiment
FL-experiment | DEBUG flwr 2024-03-11 21:40:14,863 | server.py:149 | File: storage/init_model_c9398053-ea22-4e11-97b9-875eca7c9648.pkl IPFS file hash: Qmd9iqH1Mddv2YAJirBS26f1ky3As64Q3TzYxPM3yoENWp
FL-experiment | INFO flwr 2024-03-11 21:40:14,868 | server.py:42 | Start Round=1
FL-experiment | INFO flwr 2024-03-11 21:40:14,868 | server.py:62 | Start deploying contract
FL-experiment | INFO flwr 2024-03-11 21:40:24,314 | server.py:66 | Done deploying contract
FL-experiment | INFO flwr 2024-03-11 21:40:24,315 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL-experiment | INFO flwr 2024-03-11 21:40:24,334 | app.py:176 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-11 21:40:24,334 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-11 21:40:24,334 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-11 21:40:28,850 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 21:40:28,851 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 21:40:28,851 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 21:40:28,852 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 21:40:28,861 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-11 21:40:28,861 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-11 21:40:28,861 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-11 21:40:29,352 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 21:40:29,353 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 21:40:29,353 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 21:40:29,354 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-03-11 21:40:29,355 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 21:40:29,356 | client.py:126 | Start Training client=1
FL-experiment | INFO flwr 2024-03-11 21:40:29,361 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-11 21:40:48,492 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-11 21:40:48,493 | client.py:147 | Done Training client=1
FL-experiment | INFO flwr 2024-03-11 21:40:48,577 | client.py:139 | Start sending updated weights to the perun node (client=0)
