FL-experiment | INFO flwr 2024-03-11 21:38:20,543 | main.py:40 | Config: INCENTIVES_ON=False, BCFL=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=2,
FL-experiment | INFO flwr 2024-03-11 21:38:20,544 | main.py:41 | Start Experiment
FL-experiment | DEBUG flwr 2024-03-11 21:38:21,928 | server.py:149 | File: storage/init_model_5365b2dd-dc8c-4936-935f-7aa0318b937c.pkl IPFS file hash: QmT17MC7CfPfFb5Nxoja6Q8XwhPFdgSFgHVs1nK7RT2gQF
FL-experiment | INFO flwr 2024-03-11 21:38:21,933 | server.py:42 | Start Round=1
FL-experiment | INFO flwr 2024-03-11 21:38:21,933 | server.py:62 | Start deploying contract
FL-experiment | INFO flwr 2024-03-11 21:38:29,136 | server.py:66 | Done deploying contract
FL-experiment | INFO flwr 2024-03-11 21:38:29,136 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=2, round_timeout=None)
FL-experiment | INFO flwr 2024-03-11 21:38:29,161 | app.py:176 | Flower ECE: gRPC server running (2 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-11 21:38:29,162 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-11 21:38:29,162 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-11 21:38:36,579 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 21:38:36,580 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 21:38:36,580 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-11 21:38:36,582 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 21:38:36,584 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-11 21:38:36,584 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-11 21:38:36,584 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-11 21:38:36,679 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-11 21:38:36,681 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-11 21:38:36,681 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-03-11 21:38:36,684 | client.py:126 | Start Training client=1
FL-experiment | DEBUG flwr 2024-03-11 21:38:36,688 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-11 21:38:36,689 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-11 21:38:55,778 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-11 21:38:55,778 | client.py:147 | Done Training client=1
FL-experiment | INFO flwr 2024-03-11 21:38:55,816 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-11 21:38:55,816 | client.py:147 | Done Training client=0
FL-experiment | DEBUG flwr 2024-03-11 21:38:55,818 | server.py:236 | fit_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-03-11 21:38:55,818 | server.py:70 | Start Aggregating round=1
FL-experiment | INFO flwr 2024-03-11 21:38:55,818 | server.py:73 | Start setting weights to the blockchain
FL-experiment | DEBUG flwr 2024-03-11 21:38:55,837 | server.py:80 | File: storage/init_model_5365b2dd-dc8c-4936-935f-7aa0318b937c.pkl IPFS file hash: QmT17MC7CfPfFb5Nxoja6Q8XwhPFdgSFgHVs1nK7RT2gQF
FL-experiment | DEBUG flwr 2024-03-11 21:38:59,157 | server.py:80 | File: storage/init_model_5365b2dd-dc8c-4936-935f-7aa0318b937c.pkl IPFS file hash: QmT17MC7CfPfFb5Nxoja6Q8XwhPFdgSFgHVs1nK7RT2gQF
FL-experiment | INFO flwr 2024-03-11 21:39:04,154 | server.py:83 | Done setting weights to the blockchain
FL-experiment | WARNING flwr 2024-03-11 21:39:04,160 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL-experiment | INFO flwr 2024-03-11 21:39:04,160 | server.py:90 | Start saving aggregated model to storage (round=1)
FL-experiment | DEBUG flwr 2024-03-11 21:39:04,203 | server.py:99 | File: storage/aggregated_model_b186d5e9-836c-4877-80ca-99bf82e95ec1.pkl IPFS file hash: QmPWnJPP8Jm5M7QDxYJHKiir8bv6wUxEvUeKWys2VMoaoH
FL-experiment | INFO flwr 2024-03-11 21:39:04,203 | server.py:102 | Done saving aggregated model to storage (round=1)
FL-experiment | DEBUG flwr 2024-03-11 21:39:04,203 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-03-11 21:39:05,970 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-03-11 21:39:05,970 | server.py:109 | Start evaluating fit round=1
FL-experiment | INFO flwr 2024-03-11 21:39:05,970 | server.py:111 | Done Evaluating fit round=1
FL-experiment | DEBUG flwr 2024-03-11 21:39:05,970 | server.py:112 | Round: 1, Aggregated accuracy: {'accuracy': 0.201}, Aggregated loss: 691.2006530761719, IPFS hash: QmPWnJPP8Jm5M7QDxYJHKiir8bv6wUxEvUeKWys2VMoaoH
FL-experiment | INFO flwr 2024-03-11 21:39:05,970 | server.py:128 | Start setting aggregated model to the blockchain round=1
FL-experiment | INFO flwr 2024-03-11 21:39:14,215 | server.py:131 | Done setting aggregated model to the blockchain round=1
FL-experiment | INFO flwr 2024-03-11 21:39:14,215 | server.py:133 | Done Aggregating round=1
FL-experiment | INFO flwr 2024-03-11 21:39:14,215 | server.py:134 | Done Round=1
FL-experiment | INFO flwr 2024-03-11 21:39:14,215 | server.py:136 | Start Round=2
FL-experiment | DEBUG flwr 2024-03-11 21:39:14,215 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-03-11 21:39:14,222 | client.py:126 | Start Training client=1
FL-experiment | INFO flwr 2024-03-11 21:39:14,223 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-11 21:39:33,082 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-11 21:39:33,082 | client.py:147 | Done Training client=1
FL-experiment | INFO flwr 2024-03-11 21:39:33,157 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-11 21:39:33,157 | client.py:147 | Done Training client=0
FL-experiment | DEBUG flwr 2024-03-11 21:39:33,158 | server.py:236 | fit_round 2 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-03-11 21:39:33,158 | server.py:70 | Start Aggregating round=2
FL-experiment | INFO flwr 2024-03-11 21:39:33,158 | server.py:73 | Start setting weights to the blockchain
