FL-experiment | INFO flwr 2024-04-29 21:11:12,598 | main.py:43 | Config: INCENTIVES_ON=True, BCFL=False, IPFS_ON=True, NUM_CLIENTS=5, NUM_ROUNDS=10,
FL-experiment | INFO flwr 2024-04-29 21:11:12,598 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-29 21:11:12,598 | main.py:54 | Start opening channels
FL-experiment | INFO flwr 2024-04-29 21:12:26,093 | main.py:56 | Done opening channels
FL-experiment | DEBUG flwr 2024-04-29 21:12:27,996 | server.py:147 | File: storage/init_model_55ec400b-5c11-42b5-ac24-a85cf20ee1cf.pkl IPFS file hash: QmXPCg2js538ScW53CSswXyTnJxirTCLXiDgYnnsCYTspu
FL-experiment | INFO flwr 2024-04-29 21:12:27,996 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-29 21:12:27,996 | server.py:49 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-04-29 21:12:27,996 | server.py:52 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,QmXPCg2js538ScW53CSswXyTnJxirTCLXiDgYnnsCYTspu,10,0,0,0
FL-experiment | INFO flwr 2024-04-29 21:12:28,351 | server.py:52 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,QmXPCg2js538ScW53CSswXyTnJxirTCLXiDgYnnsCYTspu,10,0,0,0
FL-experiment | INFO flwr 2024-04-29 21:12:28,705 | server.py:52 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,QmXPCg2js538ScW53CSswXyTnJxirTCLXiDgYnnsCYTspu,10,0,0,0
FL-experiment | INFO flwr 2024-04-29 21:12:29,058 | server.py:52 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,QmXPCg2js538ScW53CSswXyTnJxirTCLXiDgYnnsCYTspu,10,0,0,0
FL-experiment | INFO flwr 2024-04-29 21:12:29,416 | server.py:52 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,QmXPCg2js538ScW53CSswXyTnJxirTCLXiDgYnnsCYTspu,10,0,0,0
FL-experiment | INFO flwr 2024-04-29 21:12:29,769 | server.py:54 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-04-29 21:12:29,769 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FL-experiment | INFO flwr 2024-04-29 21:12:29,793 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-29 21:12:29,793 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-29 21:12:29,793 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-29 21:12:36,350 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,351 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,353 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 21:12:36,362 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-29 21:12:36,362 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-29 21:12:36,362 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-29 21:12:36,381 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,382 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | INFO flwr 2024-04-29 21:12:36,383 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,383 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,383 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,384 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,390 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 21:12:36,636 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,637 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,638 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,638 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-29 21:12:36,645 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,646 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,647 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,647 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-29 21:12:36,647 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
FL-experiment | INFO flwr 2024-04-29 21:12:36,651 | client.py:128 | Start Training client=2
FL-experiment | INFO flwr 2024-04-29 21:12:36,651 | client.py:128 | Start Training client=3
FL-experiment | INFO flwr 2024-04-29 21:12:36,651 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-29 21:12:36,655 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-29 21:12:36,656 | client.py:128 | Start Training client=4
FL-experiment | DEBUG flwr 2024-04-29 21:13:03,923 | client.py:139 | File: storage/updated_weights_3_c0f4d17e-1c16-41db-bb53-ff142478d047.pkl IPFS file hash: QmPTcbSVjs3sqNWSpdUco9uE1AdpjtRtQA2z95CWrpnn2B
FL-experiment | INFO flwr 2024-04-29 21:13:03,924 | client.py:141 | Start sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-04-29 21:13:03,924 | client.py:144 | PERUN REQUEST: Setting weight client=3, REQ=set,peer_5,1,10,QmPTcbSVjs3sqNWSpdUco9uE1AdpjtRtQA2z95CWrpnn2B,0,0
FL-experiment | INFO flwr 2024-04-29 21:13:03,939 | client.py:146 | Done sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-04-29 21:13:03,939 | client.py:149 | Done Training client=3
FL-experiment | DEBUG flwr 2024-04-29 21:13:04,396 | client.py:139 | File: storage/updated_weights_2_894a4c38-30d8-435f-b879-26c71badbb4f.pkl IPFS file hash: QmTGztD9zhBXb4pX3T32uhdpJs21rJT6osoajMEBzcNSBn
FL-experiment | INFO flwr 2024-04-29 21:13:04,396 | client.py:141 | Start sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-04-29 21:13:04,396 | client.py:144 | PERUN REQUEST: Setting weight client=2, REQ=set,peer_5,1,10,QmTGztD9zhBXb4pX3T32uhdpJs21rJT6osoajMEBzcNSBn,0,0
FL-experiment | INFO flwr 2024-04-29 21:13:04,445 | client.py:146 | Done sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-04-29 21:13:04,445 | client.py:149 | Done Training client=2
FL-experiment | DEBUG flwr 2024-04-29 21:13:04,617 | client.py:139 | File: storage/updated_weights_0_f696fccc-c523-4f36-a76a-f7238fc42f20.pkl IPFS file hash: QmP3zRyhtf4AQToRK4V394ibVaetmaaxB7J4ReDNHcw15C
FL-experiment | INFO flwr 2024-04-29 21:13:04,617 | client.py:141 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-04-29 21:13:04,617 | client.py:144 | PERUN REQUEST: Setting weight client=0, REQ=set,peer_5,1,10,QmP3zRyhtf4AQToRK4V394ibVaetmaaxB7J4ReDNHcw15C,0,0
FL-experiment | INFO flwr 2024-04-29 21:13:04,663 | client.py:146 | Done sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-04-29 21:13:04,663 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-29 21:13:04,741 | client.py:139 | File: storage/updated_weights_4_5dfad615-9d54-4a36-a09f-eec6980538c2.pkl IPFS file hash: QmUcfXksYB6sKuoVF4XpxHxJsJYqtZn9orFBmCjCJ6RxuW
FL-experiment | INFO flwr 2024-04-29 21:13:04,741 | client.py:141 | Start sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-04-29 21:13:04,741 | client.py:144 | PERUN REQUEST: Setting weight client=4, REQ=set,peer_5,1,10,QmUcfXksYB6sKuoVF4XpxHxJsJYqtZn9orFBmCjCJ6RxuW,0,0
FL-experiment | DEBUG flwr 2024-04-29 21:13:04,811 | client.py:139 | File: storage/updated_weights_1_082a5f6e-b7a0-4b87-b186-691f0fa7fa8e.pkl IPFS file hash: Qmcn4sDoViXAnKzAF7uawn22ufCQaAU9N58sxEKjbhdUgZ
FL-experiment | INFO flwr 2024-04-29 21:13:04,812 | client.py:146 | Done sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-04-29 21:13:04,812 | client.py:141 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-04-29 21:13:04,812 | client.py:149 | Done Training client=4
FL-experiment | INFO flwr 2024-04-29 21:13:04,812 | client.py:144 | PERUN REQUEST: Setting weight client=1, REQ=set,peer_5,1,10,Qmcn4sDoViXAnKzAF7uawn22ufCQaAU9N58sxEKjbhdUgZ,0,0
FL-experiment | INFO flwr 2024-04-29 21:13:04,981 | client.py:146 | Done sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-04-29 21:13:04,981 | client.py:149 | Done Training client=1
FL-experiment | DEBUG flwr 2024-04-29 21:13:04,986 | server.py:236 | fit_round 1 received 5 results and 0 failures
FL-experiment | INFO flwr 2024-04-29 21:13:04,986 | server.py:65 | Start Aggregating round=1
