FL-experiment | INFO flwr 2024-03-07 03:28:16,320 | main.py:37 | Config: INCENTIVES_ON=True, IPFS_ON=True, NUM_CLIENTS=2, NUM_ROUNDS=3
FL-experiment | INFO flwr 2024-03-07 03:28:16,320 | main.py:38 | Start Experiment
FL-experiment | INFO flwr 2024-03-07 03:28:16,320 | main.py:44 | Start opening channels
FL-experiment | INFO flwr 2024-03-07 03:28:42,399 | main.py:46 | Done opening channels
FL-experiment | DEBUG flwr 2024-03-07 03:28:43,230 | server.py:111 | File: storage/init_model_18553d2b-9e47-4287-921b-bc5818158b88.pkl IPFS file hash: QmSyRKUwBoMtuTznb5UofHRxdrLCMsdGfZVCd3zfaLr51h
FL-experiment | INFO flwr 2024-03-07 03:28:43,230 | server.py:35 | Start Round=1
FL-experiment | INFO flwr 2024-03-07 03:28:43,231 | server.py:42 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-07 03:28:43,231 | server.py:45 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:28:43,234 | server.py:45 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:28:43,239 | server.py:48 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-07 03:28:43,239 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL-experiment | INFO flwr 2024-03-07 03:28:43,251 | app.py:176 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-07 03:28:43,252 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-07 03:28:43,252 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-07 03:28:50,965 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:28:50,966 | connection.py:42 | ChannelConnectivity.IDLE
