FL-experiment | INFO flwr 2024-03-07 03:51:50,361 | main.py:37 | Config: INCENTIVES_ON=True, IPFS_ON=True, NUM_CLIENTS=5, NUM_ROUNDS=3
FL-experiment | INFO flwr 2024-03-07 03:51:50,362 | main.py:38 | Start Experiment
FL-experiment | INFO flwr 2024-03-07 03:51:50,362 | main.py:44 | Start opening channels
FL-experiment | INFO flwr 2024-03-07 03:53:04,329 | main.py:46 | Done opening channels
FL-experiment | DEBUG flwr 2024-03-07 03:53:05,313 | server.py:111 | File: storage/init_model_3c189413-9eb0-449d-a614-09c358313062.pkl IPFS file hash: QmUdJ5HcDgPs6jULtCQKTAR1s3QeZqJtrKRYz88psy6n8R
FL-experiment | INFO flwr 2024-03-07 03:53:05,313 | server.py:35 | Start Round=1
FL-experiment | INFO flwr 2024-03-07 03:53:05,313 | server.py:42 | Start sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-07 03:53:05,313 | server.py:45 | PERUN REQUEST: Sharing model with peer_0, REQ=set,peer_0,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:53:05,316 | server.py:45 | PERUN REQUEST: Sharing model with peer_1, REQ=set,peer_1,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:53:05,319 | server.py:45 | PERUN REQUEST: Sharing model with peer_2, REQ=set,peer_2,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:53:05,322 | server.py:45 | PERUN REQUEST: Sharing model with peer_3, REQ=set,peer_3,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:53:05,327 | server.py:45 | PERUN REQUEST: Sharing model with peer_4, REQ=set,peer_4,1,3,0,0,0
FL-experiment | INFO flwr 2024-03-07 03:53:05,331 | server.py:48 | Done sharing model with perun nodes
FL-experiment | INFO flwr 2024-03-07 03:53:05,332 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL-experiment | INFO flwr 2024-03-07 03:53:05,345 | app.py:176 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-07 03:53:05,345 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-07 03:53:05,345 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-07 03:53:13,097 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,099 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,101 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 03:53:13,107 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-07 03:53:13,107 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-07 03:53:13,107 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-07 03:53:13,127 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,137 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,137 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,138 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 03:53:13,148 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,148 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,150 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 03:53:13,363 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,364 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,375 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,376 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 03:53:13,380 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,381 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,382 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,383 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
FL-experiment | INFO flwr 2024-03-07 03:53:13,387 | client.py:126 | Start Training client=3
FL-experiment | INFO flwr 2024-03-07 03:53:13,387 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-07 03:53:13,388 | client.py:126 | Start Training client=1
FL-experiment | DEBUG flwr 2024-03-07 03:53:13,388 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-07 03:53:13,392 | client.py:126 | Start Training client=2
FL-experiment | INFO flwr 2024-03-07 03:53:13,394 | client.py:126 | Start Training client=4
FL-experiment | DEBUG flwr 2024-03-07 03:53:40,910 | client.py:137 | File: storage/updated_weights_1_79a47223-7a3b-45e7-946f-754b2dabf9bf.pkl IPFS file hash: QmerLxbHeem7eQXQL3GDZfsU9fvXomdU3yJ4xKa9KcCQ8k
FL-experiment | INFO flwr 2024-03-07 03:53:40,911 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-07 03:53:40,911 | client.py:142 | PERUN REQUEST: Setting weight client=1, REQ=set,peer_5,1,3,10,0,0
FL-experiment | INFO flwr 2024-03-07 03:53:40,915 | client.py:144 | Done sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-07 03:53:40,915 | client.py:147 | Done Training client=1
FL-experiment | DEBUG flwr 2024-03-07 03:53:40,917 | client.py:137 | File: storage/updated_weights_3_9a6fbfdf-c412-4ae0-a191-fc8b0f7c54af.pkl IPFS file hash: QmfMfnGRUmEQWttdDbgMMZ11TS3sJJzGfSjAaxzsrii7Jz
FL-experiment | INFO flwr 2024-03-07 03:53:40,917 | client.py:139 | Start sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-03-07 03:53:40,917 | client.py:142 | PERUN REQUEST: Setting weight client=3, REQ=set,peer_5,1,3,10,0,0
FL-experiment | INFO flwr 2024-03-07 03:53:40,922 | client.py:144 | Done sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-03-07 03:53:40,923 | client.py:147 | Done Training client=3
FL-experiment | DEBUG flwr 2024-03-07 03:53:40,923 | client.py:137 | File: storage/updated_weights_4_69b7f139-0df2-4cf3-8f2f-9ce9b3622dcc.pkl IPFS file hash: QmYkuGn9u5KaaGYXdp3je2TbpnbpgkZd1oqdr4x9pLFBZx
FL-experiment | INFO flwr 2024-03-07 03:53:40,923 | client.py:139 | Start sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-03-07 03:53:40,923 | client.py:142 | PERUN REQUEST: Setting weight client=4, REQ=set,peer_5,1,3,10,0,0
FL-experiment | INFO flwr 2024-03-07 03:53:40,931 | client.py:144 | Done sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-03-07 03:53:40,931 | client.py:147 | Done Training client=4
FL-experiment | DEBUG flwr 2024-03-07 03:53:41,055 | client.py:137 | File: storage/updated_weights_0_2002028d-653d-48af-8bc5-58e81c9a0df4.pkl IPFS file hash: QmaNwEgZwikKknovJzYVVu4zrNxJ1d3sz2x2JotCGEHB47
FL-experiment | INFO flwr 2024-03-07 03:53:41,056 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-07 03:53:41,056 | client.py:142 | PERUN REQUEST: Setting weight client=0, REQ=set,peer_5,1,3,10,0,0
FL-experiment | INFO flwr 2024-03-07 03:53:41,064 | client.py:144 | Done sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-07 03:53:41,064 | client.py:147 | Done Training client=0
FL-experiment | DEBUG flwr 2024-03-07 03:53:41,139 | client.py:137 | File: storage/updated_weights_2_f8c82a75-27ca-4daf-9778-9240aa2ba9a8.pkl IPFS file hash: QmVMscHwrPzR74hDksZuGAVPL74Zd9T439aLzYdn8mED6a
FL-experiment | INFO flwr 2024-03-07 03:53:41,139 | client.py:139 | Start sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-03-07 03:53:41,139 | client.py:142 | PERUN REQUEST: Setting weight client=2, REQ=set,peer_5,1,3,10,0,0
FL-experiment | INFO flwr 2024-03-07 03:53:41,144 | client.py:144 | Done sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-03-07 03:53:41,144 | client.py:147 | Done Training client=2
FL-experiment | DEBUG flwr 2024-03-07 03:53:41,145 | server.py:236 | fit_round 1 received 5 results and 0 failures
FL-experiment | INFO flwr 2024-03-07 03:53:41,145 | server.py:52 | Start Aggregating round=1
FL-experiment | WARNING flwr 2024-03-07 03:53:41,150 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL-experiment | INFO flwr 2024-03-07 03:53:41,150 | server.py:58 | Start saving aggregated model to storage (round=1)
FL-experiment | DEBUG flwr 2024-03-07 03:53:41,165 | server.py:67 | File: storage/aggregated_model_fc99ac44-1dc1-4d4f-98d1-2ceb45d95275.pkl IPFS file hash: QmQA99ipFuK6WXd8W4A6bRzWZEVsTkepX4enKn9T6mVpY7
