FL-experiment | INFO flwr 2024-03-04 13:24:16,379 | main.py:37 | Config: INCENTIVES_ON=False, IPFS_ON=False, NUM_CLIENTS=5, NUM_ROUNDS=3
FL-experiment | INFO flwr 2024-03-04 13:24:16,379 | main.py:38 | Start Experiment
FL-experiment | INFO flwr 2024-03-04 13:24:17,434 | server.py:35 | Start Round=1
FL-experiment | INFO flwr 2024-03-04 13:24:17,435 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=3, round_timeout=None)
FL-experiment | INFO flwr 2024-03-04 13:24:17,449 | app.py:176 | Flower ECE: gRPC server running (3 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-03-04 13:24:17,450 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-03-04 13:24:17,450 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-03-04 13:24:25,170 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,171 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,171 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,171 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-04 13:24:25,182 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-03-04 13:24:25,182 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-03-04 13:24:25,182 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-03-04 13:24:25,261 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,269 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,269 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,270 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-04 13:24:25,437 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,439 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,439 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,444 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-04 13:24:25,528 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,528 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,534 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,534 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-03-04 13:24:25,637 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,647 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,648 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,648 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-03-04 13:24:25,648 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
FL-experiment | INFO flwr 2024-03-04 13:24:25,651 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-04 13:24:25,652 | client.py:126 | Start Training client=3
FL-experiment | INFO flwr 2024-03-04 13:24:25,652 | client.py:126 | Start Training client=2
FL-experiment | INFO flwr 2024-03-04 13:24:25,652 | client.py:126 | Start Training client=4
FL-experiment | INFO flwr 2024-03-04 13:24:25,653 | client.py:126 | Start Training client=1
FL-experiment | INFO flwr 2024-03-04 13:24:52,177 | client.py:139 | Start sending updated weights to the perun node (client=2)
FL-experiment | INFO flwr 2024-03-04 13:24:52,177 | client.py:147 | Done Training client=2
FL-experiment | INFO flwr 2024-03-04 13:24:53,422 | client.py:139 | Start sending updated weights to the perun node (client=4)
FL-experiment | INFO flwr 2024-03-04 13:24:53,423 | client.py:147 | Done Training client=4
FL-experiment | INFO flwr 2024-03-04 13:24:53,511 | client.py:139 | Start sending updated weights to the perun node (client=3)
FL-experiment | INFO flwr 2024-03-04 13:24:53,511 | client.py:147 | Done Training client=3
FL-experiment | INFO flwr 2024-03-04 13:24:53,689 | client.py:139 | Start sending updated weights to the perun node (client=0)
FL-experiment | INFO flwr 2024-03-04 13:24:53,689 | client.py:147 | Done Training client=0
FL-experiment | INFO flwr 2024-03-04 13:24:53,717 | client.py:139 | Start sending updated weights to the perun node (client=1)
FL-experiment | INFO flwr 2024-03-04 13:24:53,717 | client.py:147 | Done Training client=1
FL-experiment | DEBUG flwr 2024-03-04 13:24:53,719 | server.py:236 | fit_round 1 received 5 results and 0 failures
FL-experiment | INFO flwr 2024-03-04 13:24:53,719 | server.py:52 | Start Aggregating round=1
FL-experiment | WARNING flwr 2024-03-04 13:24:53,724 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL-experiment | DEBUG flwr 2024-03-04 13:24:53,724 | server.py:173 | evaluate_round 1: strategy sampled 5 clients (out of 5)
FL-experiment | DEBUG flwr 2024-03-04 13:24:55,733 | server.py:187 | evaluate_round 1 received 5 results and 0 failures
FL-experiment | INFO flwr 2024-03-04 13:24:55,733 | server.py:77 | Start evaluating fit round=1
FL-experiment | INFO flwr 2024-03-04 13:24:55,733 | server.py:79 | Done Evaluating fit round=1
FL-experiment | DEBUG flwr 2024-03-04 13:24:55,733 | server.py:80 | Round: 1, Aggregated accuracy: {'accuracy': 0.23154}, Aggregated loss: 658.8229370117188, IPFS hash: storage/aggregated_model_55b8f166-683e-4e61-871a-a52c439ba401.pkl
FL-experiment | INFO flwr 2024-03-04 13:24:55,733 | server.py:95 | Done Aggregating round=1
FL-experiment | INFO flwr 2024-03-04 13:24:55,733 | server.py:96 | Done Round=1
FL-experiment | INFO flwr 2024-03-04 13:24:55,733 | server.py:98 | Start Round=2
FL-experiment | DEBUG flwr 2024-03-04 13:24:55,733 | server.py:222 | fit_round 2: strategy sampled 5 clients (out of 5)
FL-experiment | INFO flwr 2024-03-04 13:24:55,736 | client.py:126 | Start Training client=0
FL-experiment | INFO flwr 2024-03-04 13:24:55,736 | client.py:126 | Start Training client=2
FL-experiment | INFO flwr 2024-03-04 13:24:55,736 | client.py:126 | Start Training client=3
