FL-experiment | INFO flwr 2024-04-23 00:47:36,742 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=2, NUM_ROUNDS=5,
FL-experiment | INFO flwr 2024-04-23 00:47:36,742 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-23 00:47:38,442 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-23 00:47:38,442 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
FL-experiment | INFO flwr 2024-04-23 00:47:38,461 | app.py:176 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-23 00:47:38,461 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-23 00:47:38,461 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 00:47:45,725 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 00:47:45,727 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 00:47:45,727 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 00:47:45,727 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 00:47:45,735 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 00:47:45,735 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-23 00:47:45,735 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-23 00:47:46,323 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 00:47:46,324 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 00:47:46,326 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 00:47:46,329 | client.py:128 | Start Training client=1
FL-experiment | DEBUG flwr 2024-04-23 00:47:46,331 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 00:47:46,333 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 00:48:05,699 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 00:48:05,809 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 00:48:05,811 | server.py:236 | fit_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 00:48:05,811 | server.py:65 | Start Aggregating round=1
FL-experiment | WARNING flwr 2024-04-23 00:48:05,813 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL-experiment | DEBUG flwr 2024-04-23 00:48:05,814 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 00:48:07,802 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 00:48:07,802 | server.py:105 | Start evaluating fit round=1
FL-experiment | INFO flwr 2024-04-23 00:48:07,802 | server.py:107 | Done Evaluating fit round=1
FL-experiment | DEBUG flwr 2024-04-23 00:48:07,802 | server.py:108 | Round: 1, Aggregated accuracy: {'accuracy': 0.19935}, Aggregated loss: 668.6663513183594, IPFS hash: storage/aggregated_model_e3c8f937-5531-48bf-bdc1-471d2bae8a76.pkl
FL-experiment | INFO flwr 2024-04-23 00:48:07,802 | server.py:131 | Done Aggregating round=1
FL-experiment | INFO flwr 2024-04-23 00:48:07,802 | server.py:132 | Done Round=1
FL-experiment | INFO flwr 2024-04-23 00:48:07,802 | server.py:134 | Start Round=2
FL-experiment | DEBUG flwr 2024-04-23 00:48:07,802 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 00:48:07,804 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-23 00:48:07,805 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 00:48:26,848 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 00:48:26,908 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 00:48:26,910 | server.py:236 | fit_round 2 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 00:48:26,910 | server.py:65 | Start Aggregating round=2
FL-experiment | DEBUG flwr 2024-04-23 00:48:26,914 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 00:48:28,888 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 00:48:28,889 | server.py:105 | Start evaluating fit round=2
FL-experiment | INFO flwr 2024-04-23 00:48:28,889 | server.py:107 | Done Evaluating fit round=2
FL-experiment | DEBUG flwr 2024-04-23 00:48:28,889 | server.py:108 | Round: 2, Aggregated accuracy: {'accuracy': 0.3464}, Aggregated loss: 561.1536254882812, IPFS hash: storage/aggregated_model_9eef9417-0d62-4206-b538-0751e31079aa.pkl
FL-experiment | INFO flwr 2024-04-23 00:48:28,889 | server.py:131 | Done Aggregating round=2
FL-experiment | INFO flwr 2024-04-23 00:48:28,889 | server.py:132 | Done Round=2
FL-experiment | INFO flwr 2024-04-23 00:48:28,889 | server.py:134 | Start Round=3
FL-experiment | DEBUG flwr 2024-04-23 00:48:28,889 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 00:48:28,891 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 00:48:28,892 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-23 00:48:48,564 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 00:48:48,742 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 00:48:48,743 | server.py:236 | fit_round 3 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 00:48:48,743 | server.py:65 | Start Aggregating round=3
FL-experiment | DEBUG flwr 2024-04-23 00:48:48,746 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 00:48:50,763 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 00:48:50,763 | server.py:105 | Start evaluating fit round=3
FL-experiment | INFO flwr 2024-04-23 00:48:50,763 | server.py:107 | Done Evaluating fit round=3
FL-experiment | DEBUG flwr 2024-04-23 00:48:50,763 | server.py:108 | Round: 3, Aggregated accuracy: {'accuracy': 0.4067}, Aggregated loss: 514.3930358886719, IPFS hash: storage/aggregated_model_6c6d9163-2792-4942-a2c8-f0cc87407b14.pkl
FL-experiment | INFO flwr 2024-04-23 00:48:50,763 | server.py:131 | Done Aggregating round=3
FL-experiment | INFO flwr 2024-04-23 00:48:50,763 | server.py:132 | Done Round=3
FL-experiment | INFO flwr 2024-04-23 00:48:50,763 | server.py:134 | Start Round=4
FL-experiment | DEBUG flwr 2024-04-23 00:48:50,763 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 00:48:50,765 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-23 00:48:50,766 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 00:49:10,146 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 00:49:10,234 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 00:49:10,235 | server.py:236 | fit_round 4 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 00:49:10,236 | server.py:65 | Start Aggregating round=4
FL-experiment | DEBUG flwr 2024-04-23 00:49:10,238 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 00:49:12,257 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 00:49:12,257 | server.py:105 | Start evaluating fit round=4
FL-experiment | INFO flwr 2024-04-23 00:49:12,257 | server.py:107 | Done Evaluating fit round=4
FL-experiment | DEBUG flwr 2024-04-23 00:49:12,257 | server.py:108 | Round: 4, Aggregated accuracy: {'accuracy': 0.4432}, Aggregated loss: 475.9287872314453, IPFS hash: storage/aggregated_model_a73307e2-8b34-4b5c-b8f6-02ded6f2e86c.pkl
FL-experiment | INFO flwr 2024-04-23 00:49:12,257 | server.py:131 | Done Aggregating round=4
