FL-experiment | INFO flwr 2024-04-23 01:08:45,939 | main.py:43 | Config: INCENTIVES_ON=False, BCFL=False, IPFS_ON=False, NUM_CLIENTS=2, NUM_ROUNDS=10,
FL-experiment | INFO flwr 2024-04-23 01:08:45,939 | main.py:44 | Start Experiment
FL-experiment | INFO flwr 2024-04-23 01:08:47,613 | server.py:38 | Start Round=1
FL-experiment | INFO flwr 2024-04-23 01:08:47,614 | app.py:163 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
FL-experiment | INFO flwr 2024-04-23 01:08:47,632 | app.py:176 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
FL-experiment | INFO flwr 2024-04-23 01:08:47,633 | server.py:89 | Initializing global parameters
FL-experiment | INFO flwr 2024-04-23 01:08:47,633 | server.py:276 | Requesting initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 01:08:55,152 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 01:08:55,153 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 01:08:55,157 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | INFO flwr 2024-04-23 01:08:55,181 | server.py:280 | Received initial parameters from one random client
FL-experiment | INFO flwr 2024-04-23 01:08:55,181 | server.py:91 | Evaluating initial parameters
FL-experiment | INFO flwr 2024-04-23 01:08:55,181 | server.py:104 | FL starting
FL-experiment | INFO flwr 2024-04-23 01:08:55,197 | grpc.py:52 | Opened insecure gRPC connection (no certificates were passed)
FL-experiment | DEBUG flwr 2024-04-23 01:08:55,205 | connection.py:42 | ChannelConnectivity.IDLE
FL-experiment | DEBUG flwr 2024-04-23 01:08:55,206 | connection.py:42 | ChannelConnectivity.CONNECTING
FL-experiment | DEBUG flwr 2024-04-23 01:08:55,206 | connection.py:42 | ChannelConnectivity.READY
FL-experiment | DEBUG flwr 2024-04-23 01:08:55,206 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 01:08:55,209 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-23 01:08:55,209 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 01:09:13,842 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 01:09:14,231 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 01:09:14,233 | server.py:236 | fit_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:09:14,233 | server.py:65 | Start Aggregating round=1
FL-experiment | WARNING flwr 2024-04-23 01:09:14,235 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
FL-experiment | DEBUG flwr 2024-04-23 01:09:14,236 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 01:09:16,102 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:09:16,102 | server.py:105 | Start evaluating fit round=1
FL-experiment | INFO flwr 2024-04-23 01:09:16,102 | server.py:107 | Done Evaluating fit round=1
FL-experiment | DEBUG flwr 2024-04-23 01:09:16,102 | server.py:108 | Round: 1, Aggregated accuracy: {'accuracy': 0.2869}, Aggregated loss: 632.2448120117188, IPFS hash: storage/aggregated_model_c5218e13-42b9-4bf5-91b1-be2fd7132124.pkl
FL-experiment | INFO flwr 2024-04-23 01:09:16,102 | server.py:131 | Done Aggregating round=1
FL-experiment | INFO flwr 2024-04-23 01:09:16,102 | server.py:132 | Done Round=1
FL-experiment | INFO flwr 2024-04-23 01:09:16,102 | server.py:134 | Start Round=2
FL-experiment | DEBUG flwr 2024-04-23 01:09:16,102 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 01:09:16,105 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 01:09:16,105 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-23 01:09:34,435 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 01:09:34,722 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 01:09:34,723 | server.py:236 | fit_round 2 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:09:34,723 | server.py:65 | Start Aggregating round=2
FL-experiment | DEBUG flwr 2024-04-23 01:09:34,727 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 01:09:36,569 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:09:36,569 | server.py:105 | Start evaluating fit round=2
FL-experiment | INFO flwr 2024-04-23 01:09:36,570 | server.py:107 | Done Evaluating fit round=2
FL-experiment | DEBUG flwr 2024-04-23 01:09:36,570 | server.py:108 | Round: 2, Aggregated accuracy: {'accuracy': 0.3689}, Aggregated loss: 544.0063781738281, IPFS hash: storage/aggregated_model_fe3da88f-5042-421e-824e-3f823f88e679.pkl
FL-experiment | INFO flwr 2024-04-23 01:09:36,570 | server.py:131 | Done Aggregating round=2
FL-experiment | INFO flwr 2024-04-23 01:09:36,570 | server.py:132 | Done Round=2
FL-experiment | INFO flwr 2024-04-23 01:09:36,570 | server.py:134 | Start Round=3
FL-experiment | DEBUG flwr 2024-04-23 01:09:36,570 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 01:09:36,572 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 01:09:36,573 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-23 01:09:54,567 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 01:09:54,958 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 01:09:54,959 | server.py:236 | fit_round 3 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:09:54,959 | server.py:65 | Start Aggregating round=3
FL-experiment | DEBUG flwr 2024-04-23 01:09:54,962 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 01:09:56,841 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:09:56,841 | server.py:105 | Start evaluating fit round=3
FL-experiment | INFO flwr 2024-04-23 01:09:56,841 | server.py:107 | Done Evaluating fit round=3
FL-experiment | DEBUG flwr 2024-04-23 01:09:56,841 | server.py:108 | Round: 3, Aggregated accuracy: {'accuracy': 0.41755}, Aggregated loss: 491.37339782714844, IPFS hash: storage/aggregated_model_2e41225c-9486-4d3b-8598-6fbe4638ddec.pkl
FL-experiment | INFO flwr 2024-04-23 01:09:56,842 | server.py:131 | Done Aggregating round=3
FL-experiment | INFO flwr 2024-04-23 01:09:56,842 | server.py:132 | Done Round=3
FL-experiment | INFO flwr 2024-04-23 01:09:56,842 | server.py:134 | Start Round=4
FL-experiment | DEBUG flwr 2024-04-23 01:09:56,842 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 01:09:56,844 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 01:09:56,844 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-23 01:10:14,961 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 01:10:15,407 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 01:10:15,408 | server.py:236 | fit_round 4 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:10:15,408 | server.py:65 | Start Aggregating round=4
FL-experiment | DEBUG flwr 2024-04-23 01:10:15,410 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 01:10:17,261 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:10:17,261 | server.py:105 | Start evaluating fit round=4
FL-experiment | INFO flwr 2024-04-23 01:10:17,261 | server.py:107 | Done Evaluating fit round=4
FL-experiment | DEBUG flwr 2024-04-23 01:10:17,261 | server.py:108 | Round: 4, Aggregated accuracy: {'accuracy': 0.4588}, Aggregated loss: 460.16552734375, IPFS hash: storage/aggregated_model_cd21817a-3559-465c-9db0-3fa1b986eb62.pkl
FL-experiment | INFO flwr 2024-04-23 01:10:17,261 | server.py:131 | Done Aggregating round=4
FL-experiment | INFO flwr 2024-04-23 01:10:17,261 | server.py:132 | Done Round=4
FL-experiment | INFO flwr 2024-04-23 01:10:17,261 | server.py:134 | Start Round=5
FL-experiment | DEBUG flwr 2024-04-23 01:10:17,261 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 01:10:17,263 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 01:10:17,264 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-23 01:10:35,786 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 01:10:36,001 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 01:10:36,002 | server.py:236 | fit_round 5 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:10:36,002 | server.py:65 | Start Aggregating round=5
FL-experiment | DEBUG flwr 2024-04-23 01:10:36,004 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 01:10:37,882 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:10:37,883 | server.py:105 | Start evaluating fit round=5
FL-experiment | INFO flwr 2024-04-23 01:10:37,883 | server.py:107 | Done Evaluating fit round=5
FL-experiment | DEBUG flwr 2024-04-23 01:10:37,883 | server.py:108 | Round: 5, Aggregated accuracy: {'accuracy': 0.4897}, Aggregated loss: 439.3624725341797, IPFS hash: storage/aggregated_model_933a7735-cfd3-4901-8c0a-f4db9608ac46.pkl
FL-experiment | INFO flwr 2024-04-23 01:10:37,883 | server.py:131 | Done Aggregating round=5
FL-experiment | INFO flwr 2024-04-23 01:10:37,883 | server.py:132 | Done Round=5
FL-experiment | INFO flwr 2024-04-23 01:10:37,883 | server.py:134 | Start Round=6
FL-experiment | DEBUG flwr 2024-04-23 01:10:37,883 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 01:10:37,885 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 01:10:37,886 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-23 01:10:56,857 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 01:10:57,110 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 01:10:57,111 | server.py:236 | fit_round 6 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:10:57,111 | server.py:65 | Start Aggregating round=6
FL-experiment | DEBUG flwr 2024-04-23 01:10:57,115 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 01:10:59,006 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:10:59,006 | server.py:105 | Start evaluating fit round=6
FL-experiment | INFO flwr 2024-04-23 01:10:59,006 | server.py:107 | Done Evaluating fit round=6
FL-experiment | DEBUG flwr 2024-04-23 01:10:59,006 | server.py:108 | Round: 6, Aggregated accuracy: {'accuracy': 0.5169}, Aggregated loss: 420.8706359863281, IPFS hash: storage/aggregated_model_79ba76cc-8852-4f54-8b26-17f302608fa5.pkl
FL-experiment | INFO flwr 2024-04-23 01:10:59,006 | server.py:131 | Done Aggregating round=6
FL-experiment | INFO flwr 2024-04-23 01:10:59,006 | server.py:132 | Done Round=6
FL-experiment | INFO flwr 2024-04-23 01:10:59,007 | server.py:134 | Start Round=7
FL-experiment | DEBUG flwr 2024-04-23 01:10:59,007 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 01:10:59,009 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 01:10:59,009 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-23 01:11:17,944 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 01:11:18,215 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 01:11:18,216 | server.py:236 | fit_round 7 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:11:18,216 | server.py:65 | Start Aggregating round=7
FL-experiment | DEBUG flwr 2024-04-23 01:11:18,219 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 01:11:20,084 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:11:20,084 | server.py:105 | Start evaluating fit round=7
FL-experiment | INFO flwr 2024-04-23 01:11:20,084 | server.py:107 | Done Evaluating fit round=7
FL-experiment | DEBUG flwr 2024-04-23 01:11:20,084 | server.py:108 | Round: 7, Aggregated accuracy: {'accuracy': 0.54215}, Aggregated loss: 402.9451141357422, IPFS hash: storage/aggregated_model_ff3f5d8b-eee2-4522-a252-c210d3c42916.pkl
FL-experiment | INFO flwr 2024-04-23 01:11:20,084 | server.py:131 | Done Aggregating round=7
FL-experiment | INFO flwr 2024-04-23 01:11:20,084 | server.py:132 | Done Round=7
FL-experiment | INFO flwr 2024-04-23 01:11:20,084 | server.py:134 | Start Round=8
FL-experiment | DEBUG flwr 2024-04-23 01:11:20,084 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
FL-experiment | INFO flwr 2024-04-23 01:11:20,086 | client.py:128 | Start Training client=0
FL-experiment | INFO flwr 2024-04-23 01:11:20,087 | client.py:128 | Start Training client=1
FL-experiment | INFO flwr 2024-04-23 01:11:38,726 | client.py:149 | Done Training client=1
FL-experiment | INFO flwr 2024-04-23 01:11:39,137 | client.py:149 | Done Training client=0
FL-experiment | DEBUG flwr 2024-04-23 01:11:39,139 | server.py:236 | fit_round 8 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:11:39,139 | server.py:65 | Start Aggregating round=8
FL-experiment | DEBUG flwr 2024-04-23 01:11:39,141 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
FL-experiment | DEBUG flwr 2024-04-23 01:11:41,013 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
FL-experiment | INFO flwr 2024-04-23 01:11:41,013 | server.py:105 | Start evaluating fit round=8
FL-experiment | INFO flwr 2024-04-23 01:11:41,014 | server.py:107 | Done Evaluating fit round=8
FL-experiment | DEBUG flwr 2024-04-23 01:11:41,014 | server.py:108 | Round: 8, Aggregated accuracy: {'accuracy': 0.5503}, Aggregated loss: 392.64610290527344, IPFS hash: storage/aggregated_model_bd71796e-ab0b-4a76-9174-e8745aa9eb8a.pkl
FL-experiment | INFO flwr 2024-04-23 01:11:41,014 | server.py:131 | Done Aggregating round=8
FL-experiment | INFO flwr 2024-04-23 01:11:41,014 | server.py:132 | Done Round=8
FL-experiment | INFO flwr 2024-04-23 01:11:41,014 | server.py:134 | Start Round=9
